,ac_code_iata,ac_code_icao,bada_model,ac_name_oag,ac_name_ps,average_age_2018,engine_degrad
0,A40,A140,A140,Antonov AN-140,Antonov An-140,13.9,-3.4628286244253395
1,A81,A148,A148,Antonov An148-100,Antonov An-148,8.028571428571428,-2.8206475381263227
2,A58,A158,A158,Antonov An-158,Antonov An-158,6.128571428571428,-2.517760028957171
3,32N,A20N,A20N,Airbus A320neo,Airbus A320neo,0.953373015873016,-0.8582944464358616
4,32Q,A21N,A21N,Airbus A321neo,Airbus A321neo,0.5140495867768595,-0.5317095060458618
5,AB6,A306,A306,Airbus A300-600 Passenger,Airbus A300-600,26.9421052631579,-4.268842577782625
6,AB4,A30B,A30B,Airbus A300B2/B4 Passenger,Airbus A300B4,37.18749999999999,-4.6692688586328
7,313,A310,A310,Airbus A310-300 Passenger,Airbus A310-300,28.222222222222218,-4.326264205471772
8,318,A318,A318,Airbus A318,Airbus A318-100,12.393999999999998,-3.3262384076334133
9,319,A319,A319,Airbus A319,Airbus A319-100,13.394242424242414,-3.418561468937404
10,320,A320,A320,Airbus A320 (with and without Sharklets),Airbus A320-200,9.71574030826713,-3.040259151600749
11,321,A321,A321,Airbus A321 (with and without Sharklets),Airbus A321-200,7.2115038945476435,-2.6990506083384322
12,332,A332,A332,Airbus A330-200,Airbus A330-200,10.720733944954128,-3.294214107155348
13,333,A333,A333,Airbus A330-300,Airbus A330-300,8.37873799725651,-2.869424539558672
14,339,A339,A339,Airbus A330-900neo,Airbus A330-900,0.10000000000000002,-0.12756046035706142
15,342,A342,A342,Airbus A340-200,Airbus A340-200,24.321428571428566,-4.325150704847885
16,343,A343,A343,Airbus A340-300,Airbus A340-300,19.337404580152683,-4.031794005059423
17,345,A345,A345,Airbus A340-500,Airbus A340-500,12.669230769230767,-3.5000395979288434
18,346,A346,A346,Airbus A340-600,Airbus A340-600,13.362500000000002,-3.5662532230884776
19,359,A359,A359,Airbus A350-900,Airbus A350-900,1.493981481481481,-1.2231118184988672
20,351,A35K,A35K,Airbus A350-1000,Airbus A350-1000,0.34285714285714286,-0.39455140196775823
21,388,A388,A388,Airbus A380-800 Passenger,Airbus A380-800,5.729184549356224,-2.5515443002688563
22,C27,AJ27,A158,Comac ARJ21-700,COMAC ARJ21-700,1.38,-1.1115212488457376
23,AN4,AN24,AN24,Antonov AN-24/ Xian Yunshuji Y7 /Ma60,,,-3.315858775439577
24,A38,AN38,AN38,Antonov AN-38,,,-3.315858775439577
25,AT4,AT43,AT43,ATR 42-300 /320,ATR 42,19.83562753036438,-3.8926480099860177
26,AT7,AT72,AT72,ATR 72,ATR 72,8.117140957446816,-2.8331614212727687
27,ATP,ATP,ATP,BAe ATP,,,-3.315858775439577
28,BE1,B190,B190,Beechcraft 1900 Airliner,Beechcraft 1900,17.459999999999997,-3.7374656373931976
29,7M8,B38M,B38M,Boeing 737MAX 8 Passenger,Boeing 737 MAX 8,0.58172757475083,-0.5877659161753236
30,7M9,B39M,B39M,Boeing 737MAX 9 Passenger,Boeing 737 MAX 9,0.41,-0.4404417512606073
31,141,B461,B462,BAe 146-100 Passenger,British Aerospace 146-100,30.72,-4.4314015990395115
32,142,B462,B462,BAe 146-200 Passenger,British Aerospace 146-200,30.55555555555556,-4.424738710450347
33,143,B463,B463,BAe 146-300 Passenger,British Aerospace 146-300,27.98928571428572,-4.316005103097785
34,717,B712,B712,Boeing 717-200,Boeing 717-200,16.939354838709672,-3.7007918210283326
35,722,B722,B722,Boeing 727-200 Passenger,Boeing 727-200,40.857142857142854,-4.786887024021665
36,73L,B732,B732,Boeing 737-200 (Mixed Configuration),Boeing 737-200,39.27033248081842,-4.737345547593855
37,733,B733,B733,"Boeing 737-300 (Pax and Mixed Config, with and without winglets)",Boeing 737-300,25.71149425287358,-4.211105636556848
38,734,B734,B734,Boeing 737-400 (Pax and Mixed Config),Boeing 737-400,26.25808823529412,-4.237071870886113
39,735,B735,B735,Boeing 737-500 Passenger (with and without winglets),Boeing 737-500,24.448499999999996,-4.149014862668646
40,736,B736,B736,Boeing 737-600 Passenger,Boeing 737-600,16.46764705882353,-3.6666341764322157
41,73G,B737,B737,"Boeing 737-700 (Pax and Mixed Config, with and without winglets)",Boeing 737-700,13.87780979827088,-3.4609181249892353
42,738,B738,B738,Boeing 737-800 Passenger (with and without winglets),Boeing 737-800,7.805754502173483,-2.7886149217398537
43,739,B739,B739,Boeing 737-900 Passenger (with and without winglets),Boeing 737-900,6.074296435272048,-2.5079627791747403
44,744,B744,B744,"Boeing 747-400 (Pax and Mixed Config, with and without winglets)",Boeing 747-400,25.38859060402685,-4.380399666295709
45,74H,B748,B748,Boeing 747-8 Passenger,Boeing 747-8,4.22777777777778,-2.213648666316433
46,752,B752,B752,Boeing 757-200 Passenger (with and without winglets),Boeing 757-200,23.641895261845374,-4.107727020358309
47,753,B753,B753,Boeing 757-300 Passenger (with and without winglets),Boeing 757-300,17.105454545454542,-3.7126061086940774
48,762,B762,B762,Boeing 767-200 Passenger,Boeing 767-200,29.4,-4.376915439586518
49,763,B763,B763,Boeing 767-300 Passenger (with and without winglets),Boeing 767-300,20.51659292035398,-3.9338733853552634
50,764,B764,B764,Boeing 767-400 Passenger,Boeing 767-400,17.68378378378378,-3.9182922968582345
51,772,B772,B772,Boeing 777-200/200ER Passenger,Boeing 777-200 NormalRange,18.85643044619422,-3.9997615820388543
52,773,B773,B773,Boeing 777-300 Passenger,Boeing 777-300 NormalRange,13.980337078651685,-3.622622549362065
53,77L,B77L,B77L,Boeing 777-200LR,Boeing 777-200 LongRange,10.555,-3.275154137351982
54,77W,B77W,B77W,Boeing 777-300ER Passenger,Boeing 777-300 ExtendedRange,5.166766917293234,-2.4347321838705884
55,788,B788,B788,Boeing 787-8,Boeing 787-8 Dreamliner,4.254985754985755,-2.220596161043847
56,789,B789,B789,Boeing 787-9,Boeing 787-9 Dreamliner,1.827227722772276,-1.3909653367750507
57,781,B78X,B78X,Boeing 787-10,Boeing 787-10 Dreamliner,0.5533333333333332,-0.5645452594738134
58,CS1,BCS1,F100,Airbus A220-100,Airbus A220-100,1.4000000000000001,-1.1222483646259125
59,CS3,BCS3,B735,Airbus A220-300,Airbus A220-300,0.8581395348837211,-0.7942235148224969
60,BEC,BE20,BE20,Beechcraft C99 Airliner,,,-3.315858775439577
61,BE4,BE40,BE40,Hawker 400 Beechjet/400A/400XP/400T,,,-3.315858775439577
62,BE2,BE55,PA27,Beechcraft-Lght Acft-Twin Piston Engine,,,-3.315858775439577
63,BNI,BN2P,DA42,BN BN-2a /BN-2b Islander,,,-3.315858775439577
64,CNA,C172,C172,Cessna (Light Aircraft),,,-3.315858775439577
65,CNF,C208,C208,Cessna 208B Caravan/ DHvilld-Bombardier DHC3 Otter,,,-3.315858775439577
66,CNJ,C25A,C25A,Cessna Citation,,,-3.315858775439577
67,CN2,C310,C310,Cessna Light Acft (Twin piston engines),,,-3.315858775439577
68,CJ8,C680,C680,Cessna 680 Citation,,,-3.315858775439577
69,CR1,CRJ1,CRJ1,Canadair Regional Jet 100,Bombardier CRJ-100,21.25125,-3.9769110454916614
70,CR2,CRJ2,CRJ2,Canadair Regional Jet 200,Bombardier CRJ-200,16.632450331125877,-3.678671752244293
71,CR7,CRJ7,CRJ9,Canadair Regional Jet CRJ-700/705,Bombardier CRJ-700,14.018981481481465,-3.4730242338795705
72,CR9,CRJ9,CRJ9,Canadair Regional Jet 900,Bombardier CRJ-900,8.29226190476189,-2.857550187505981
73,CRK,CRJX,CRJX,Canadair (Bombardier) Regional Jet 1000,Bombardier CRJ-1000,4.931746031746029,-2.282159902975541
74,CV5,CVLT,ATP,Convair 580 Passenger,,,-3.315858775439577
75,D28,D228,D228,Fairchild Dornier 228,,,-3.315858775439577
76,D38,D328,D328,Fairchild Dornier 328-100,Dornier Do-328,23.02608695652174,-4.075285312060098
77,DC9,DC94,DC94,Boeing (douglas) DC-9 Passenger,McDonnell Douglas DC-9,45.57062146892654,-4.923673464152384
78,DH1,DH8A,DH8A,DHvilld-Bombardier DHC8-100 Dsh 8/8Q,De Havilland Canada DHC-8-100,28.6013333333333,-4.342787612045715
79,DH2,DH8B,DH8C,DHvilld-Bombardier DHC8-200 Dsh 8/8Q,De Havilland Canada DHC-8-200,20.662903225806442,-3.9425605358143088
80,DH3,DH8C,DH8C,DHvilld-Bombardier DHC8-300 Dsh 8/8Q,De Havilland Canada DHC-8-300,21.68435374149659,-4.001622205786253
81,DH4,DH8D,DH8D,DHvilld-Bombardier DHC8 Dsh 8-400/8Q,De Havilland Canada DHC-8-400,8.962939958592127,-2.9468848652445834
82,DHP,DHC2,C182,DHvilld-Bombardier DHC2 Bvr,,,-3.315858775439577
83,DHL,DHC3,C182,DHvilld-Bombardier DHC3 Tb Otter,,,-3.315858775439577
84,DHT,DHC6,BE99,DHvilld-Bombardier DHC6 T/Otter / BN BN-2a Mk.iii Trislander,De Havilland Canada DHC-6 Twin Otter,31.57,-4.46529999450735
85,DH7,DHC7,AT72,DHvilld-Bombardier DHC7 Dsh 7,,,-3.315858775439577
86,DHD,DOVE,PA31,British Aerospace(De Havilland)104 Dove,,,-3.315858775439577
87,EMB,E110,D228,Embraer 110 Bandeirante,,,-3.315858775439577
88,EM2,E120,E120,Embraer 120 Brasilia,Embraer EMB-120 Brasilia,23.27608695652175,-4.088554842166134
89,ER3,E135,E135,Embraer RJ135/145,Embraer ERJ-135,16.607189542483653,-3.6768339708407223
90,ER4,E145,E145,Embraer RJ145,Embraer ERJ-145,16.82563106796118,-3.6926396554634873
91,E70,E170,E170,Embraer 170,Embraer ERJ-170,12.219254658385099,-3.309404218836114
92,290,E190,E190,Embraer 190 (E2),Embraer ERJ-190,8.260680529300565,-2.8531860643496465
93,E95,E195,E195,Embraer 195,Embraer ERJ-195,6.766878980891724,-2.627691167671155
94,EP3,E55P,E55P,Embraer EMB-505 Phenom 300,,,-3.315858775439577
95,E7W,E75L,E75L,Embraer 175 (Enhanced Winglets),Embraer ERJ-175 EnhancedWinglets,1.3378640776699025,-1.0886232798792803
96,E75,E75S,E75S,Embraer 175,Embraer ERJ-175 Base,7.207373271889399,-2.6984056221527517
97,100,F100,F100,Fokker 100,Fokker F100,26.406874999999996,-4.244049930046561
98,MA6,F27,F27,Xian Yunshuji Ma-60,,,-3.315858775439577
99,F28,F28,F28,Fokker F28 Fellowship,,,-3.315858775439577
100,CNT,F406,F406,Cessna Light Aircraft (Twin Turboprop,,,-3.315858775439577
101,F50,F50,F50,Fokker 50,Fokker F50,27.461666666666666,-4.292459285351726
102,F70,F70,F70,Fokker 70,Fokker F70,22.994444444444444,-4.0735959513465545
103,GRJ,GLF4,GLF2,Gulfstream Aerospace G/stream 2/3/4/5/6,,,-3.315858775439577
104,GJ5,GLF5,GLF5,Gulfstream Aerospace V (G500/G550),,,-3.315858775439577
105,IL9,IL96,IL96,Ilyushin Il-96 Passenger,Ilyushin Il-96,22.53333333333333,-4.227137505321275
106,FRJ,J328,E135,Fairchild Dornier 328jet,Dornier Do-328JET,17.8564935064935,-3.764707069162503
107,J31,JS31,JS32,BAe Jetstream 31,,,-3.315858775439577
108,J32,JS32,JS32,BAe Jetstream 32,,,-3.315858775439577
109,J41,JS41,JS41,BAe Jetstream 41,British Aerospace Jetstream 41,23.918918918918926,-4.122057518381757
110,L4T,L410,L410,Let 410,,,-3.315858775439577
111,M81,MD81,MD82,Boeing (douglas) MD-81,McDonnell Douglas MD-81,34.13000000000001,-4.562292182717322
112,M82,MD82,MD82,Boeing (douglas) MD-82,McDonnell Douglas MD-82,30.196296296296318,-4.410060790898707
113,M83,MD83,MD83,Boeing (douglas) MD-83,McDonnell Douglas MD-83,26.82636815920396,-4.263521950799233
114,M87,MD87,MD82,Boeing (douglas) MD-87,McDonnell Douglas MD-87,28.810000000000002,-4.3517922011476955
115,M88,MD88,MD82,Boeing (douglas) MD-88,McDonnell Douglas MD-88,28.233823529411765,-4.326773015699612
116,M90,MD90,MD83,Boeing (douglas) MD-90,McDonnell Douglas MD-90,21.885135135135133,-4.012918355820769
117,PA1,P28B,C182,Piper (Light Aircraft - Single Piston),,,-3.315858775439577
118,PA2,PA31,PA31,Piper (Light Aircraft - Twin Piston),,,-3.315858775439577
119,PAG,PA46,PA46,Piper (Light Aircraft),,,-3.315858775439577
120,PL2,PC12,PC12,Pilatus PC-12,,,-3.315858775439577
121,AR1,RJ1H,RJ1H,Avro RJ100,British Aerospace Avro RJ100,20.95384615384616,-3.9596622358833624
122,AR8,RJ85,RJ85,Avro RJ85,British Aerospace Avro RJ85,21.07037037037037,-3.9664480804016033
123,S20,SB20,SB20,Saab 2000/ Ilyushin IL114,Saab 2000,23.158620689655177,-4.082337057602231
124,SF3,SF34,SF34,Saab 340,Saab 340,25.232653061224493,-4.187917613615239
125,SU9,SU95,SU95,Sukhoi Superjet 100-95,Sukhoi Superjet 100,3.5533834586466155,-1.943168499297077
126,SWM,SW4,SW4,Fairchild Sa26 /Sa226 /Sa227 Merlin /Me,,,-3.315858775439577
127,TU3,T134,T134,Tupolev Tu134,,,-3.315858775439577
128,TU5,T154,T154,Tupolev Tu154,Tupolev Tu-154,24.97666666666667,-4.175347168275876
129,T20,T204,T204,Tupolev Tu-204/Tu-214,Tupolev Tu-204,16.12424242424242,-3.641182026703822
130,YN2,Y12,C208,Harbin Yunshuji Y12,,,-3.315858775439577
131,YK4,YK40,YK40,Yakovlev Yak-40,,,-3.315858775439577
132,YK2,YK42,YK42,Yakovlev Yak-42 /142,Yakovlev Yak-42,23.8,-4.115925429538151
